DAY,DISTINCT_CONTRACT_SOURCES,DAILY_QUERIES
2022-02-15T00:00:00Z,5,46
2022-02-16T00:00:00Z,4,57
2022-02-17T00:00:00Z,5,60
2022-02-18T00:00:00Z,4,35
2022-02-19T00:00:00Z,5,28
2022-02-20T00:00:00Z,6,43
2022-02-21T00:00:00Z,4,40
2022-02-22T00:00:00Z,5,45
2022-02-23T00:00:00Z,3,25
2022-02-24T00:00:00Z,4,54
2022-02-25T00:00:00Z,4,45
2022-02-26T00:00:00Z,4,79
2022-02-27T00:00:00Z,7,54
2022-02-28T00:00:00Z,4,19
2022-03-01T00:00:00Z,5,40
2022-03-02T00:00:00Z,4,74
2022-03-03T00:00:00Z,5,25
2022-03-04T00:00:00Z,5,41
,0,0
